en,ro
I want to be able to speak French.,Vreau să pot vorbi limba franceză.
He was just behind me.,El era tocmai în spatele meu.
Nobody understands me.,Nimeni nu mă înțelege.
What has brought you here?,Ce te-a adus aici?
His conduct was admirable.,Conduita lui era admirabilă.
Yell!,Strigă!
You shall be my daughter's husband.,Tu ar trebui să fii soțul fiicei mele.
I thought Tom would agree with me.,Am crezut că Tom va fi de acord cu mine.
Goodbye!,La revedere!
"Suddenly, there were gunshots.","Deodată, se auziră focuri de armă."
I hope you're right about this.,Sper să ai dreptate despre asta.
"Father, where are you?","Tată, unde ești?"
Tom's shoes are too small for him.,Pantofii lui Tom sunt prea mici pentru el.
Tom is going to shoot me.,Tom mă va împușca.
Sami started planning retribution.,Sami a început să planifice răzbunarea.
"OK, let's make this quick.","OK, hai să facem asta repede."
I'm in Dubai.,Sunt în Dubai.
Pull yourself together!,Adună-te!
The trunk is the main part of a tree.,Trunchiul este partea principală a unui copac.
Fear fell upon her.,A cuprins-o teama.
"Can you pay attention, please?",Puteți fi vă rog atente?
He got off at the next station.,El a coborât la următoarea stație.
Show me everything.,Arată-mi totul.
"People who love doubt nothing, or doubt everything.",Oamenii care iubesc nu se îndoiesc de nimic sau pun la îndoială totul.
My mother gets angry every single day.,Mama mea se enervează în fiecare zi.
The article expresses the author's personal opinion.,Articolul exprimă opinia personală a autorului.
There's a problem there that you don't see.,E o problemă acolo pe care nu o vezi.
She has known him only a fortnight.,Îl cunoaște doar de două săptămâni.
Mary left her umbrella in Tom's car.,Mary și-a lăsat umbrela în mașina lui Tom.
Tom didn't finish the song that he was singing.,Tom nu a terminat melodia pe care o cânta.
Do I really have to go?,Chiar trebuie să plec?
The training was hard.,Antrenamentul era greu.
I love California.,Îmi place California.
The cake tastes sweet.,Tortul are un gust dulce.
This is the pen which the famous novelist wrote with.,Acesta este stiloul cu care a scris faimosul romancier.
Tom was bitten by a cobra.,Tom a fost mușcat de o cobra.
I've just become a grandfather.,Tocmai ce am devenit bunic.
Tom wasn't waiting for me.,Tom nu mă aştepta pe mine.
Nobody was able to suggest a solution.,Nimeni nu a putut să propună o soluție.
"Most schools were designed not to transform society, but to reproduce it.","Cele mai multe școli au fost concepute nu pentru a transforma societatea, ci pentru a o reproduce."
Tom doesn't like Mary's attitude.,Lui Tom nu-i place atitudinea lui Mary.
The little boy hung his head and said nothing.,Băieţelul şi-a lăsat capul în piept şi n-a spus nimic.
I'm sorry to hear that you got a divorce.,Îmi pare rău să aud că tu ai divorțat.
Winter is just beginning.,Iarna de-abia începe.
That's the craziest fucking thing I've ever heard!,Ăsta e cel mai tembel lucru de care am auzit vreodată!
It didn't work.,Nu a funcționat.
Difficult things in the world must have their beginnings in the easy; big things must have their beginnings in the small.,Lucrurile dificile din lume încep simplu; lucrurile importante încep modest.
There was a lot of snow last winter.,A fost multă zăpadă iarna trecută.
Tom was barely able to get out of bed.,Tom de abia a putut să se dea jos din pat.
Is that your book?,Este aceea cartea ta?
He can speak French well.,El poate să vorbească franceza bine.
I felt the sweat trickle down my brow.,Am simțit sudoare picurându-mi de pe sprânceană.
How did you sleep last night?,Cum ai dormit noaptea trecută?
I didn't need to add salt to my soup.,Nu a trebuit să pun sare la supa mea.
"Without him, I would be helpless.","Fără el, aş fi neajutorat."
He did not live up to expectations.,El nu a îndreptăţit aşteptările.
What kind of dog is that?,Ce fel de câine este acela?
Mary sat on her bed.,Mary stătea pe patul ei.
Everyone makes mistakes sometimes.,Oricine face greșeli câteodată.
Watch your mouth or you'll get it.,Fii atent cum vorbeşti sau ţi-o iei.
Don't take that too literally.,Nu o lua ad litteram!
Where does he live?,Unde locuiește?
I think that I'm too old to do that.,Cred că sunt prea bătrân pentru a face asta.
This can't be!,Nu se poate!
I scoured the Internet for information about the case.,Am căutat pe internet informații despre caz.
I thought someone had taken care of this already.,Credeam că cineva s-a ocupat deja de asta.
You may go at once.,Poți pleca imediat.
Tom sometimes wears a hat.,Tom câteodată poartă o pălărie.
Many businesses closed down.,Numeroase întreprinderi au fost închise.
I'm asking for your help.,Îți cer ajutor.
This TV show is aimed at children.,Acest program TV este destinat copiilor.
"My lecture will be next Saturday, November 29, 2014, at 10:30 a.m.","Prelegerea mea va avea loc sâmbăta viitoare, în luna noiembrie, pe data de 29.11.2014, la ora 10:30."
He has access to the stored information.,Are acces la informaţia înmagazinată.
Hard work is the price of success.,Munca grea este prețul succesului.
Her ex-boyfriend was very possessive and confrontational.,Fostul ei iubit era extrem de posesiv și agresiv.
The battle was virtually over.,Bătălia era efectiv terminată.
Tom doesn't know what Mary's doing now.,Tom nu știe ce face Mary acum.
I lived in Nagoya for over a month.,Am locuit în Nagoya pentru mai mult de o lună.
The bird was covered with white feathers.,Pasărea era acoperită cu pene albe.
She was engrossed in her work.,Era absorbită de munca sa.
That would be a wise decision.,Asta ar fi o decizie înțeleaptă.
I wish I was young again.,Aș vrea să fiu tânăr din nou.
Her only hobby is collecting stamps.,Singurul ei hobby este să colecționeze timbre.
The chairman resigned out of the blue.,Directorul general și-a dat demisia dintr-o dată.
Tom hates these things.,Tom detestă aceste lucruri.
They all looked relieved.,Toți au părut ușurați.
I could run much faster when I was young.,Puteam să alerg mult mai rapid când eram tânăr.
He took apart a watch.,El a demontat un ceas.
Do you speak Turkish?,Vorbiţi turca?
"Nonetheless, she loved the children and was content with the work.","Cu toate acestea, ea iubea copiii și era mulțumită de munca sa."
The great majority is for the project.,Marea majoritate sunt în favoarea proiectului.
Is anybody home?,E cineva acasă?
Julia is a good girl.,Iulia este o fată bună.
Jim is watering the garden.,Jim stropeşte grădina.
I'd like to talk to you on Skype if you don't mind.,Aș dori să vorbesc cu tine pe Skype dacă nu te deranjează.
It is dark outside.,E întuneric afară.
Close your books.,Închide-ți cărțile.
I never fail to write to my parents every month.,Nu uit niciodată să le scriu părinţilor mei în fiecare lună.
You have a beautiful smile.,Tu ai un zâmbet frumos.
There are a lot of beautiful places in Japan.,Sunt o mulţime de locuri frumoase în Japonia.
I can't live that kind of life.,Nu pot trăi acel fel de viață.
Do you have a problem with this?,Ai o problemă cu asta?
Sami has grown six inches.,Sami a crescut șase inch.
We are going to the cemetery.,Ne ducem la cimitir.
"Regardless of age, everybody can apply for it.","Indiferent de vârstă, toată lumea poate aplica pentru asta."
"What do you mean, we don't have to?","Ce vrei să spui, că noi nu trebuie să o facem?"
Tom is in control.,Tom este șeful.
Can you give that to me?,Poți să îmi dai asta?
I was going to call them today.,Aveam de gând să-i sun astăzi.
Tom went swimming in the ocean.,Tom a mers să înoate în ocean.
We're not ready to go yet.,Nu suntem încă gata de plecare.
Tom is a very thoughtful person.,Tom este o persoană foarte grijulie.
Are you sure you can handle the responsibility? There's lots of work involved.,Ești sigur că poți face față responsabilității? Asta presupune foarte mult muncă.
Do you want to argue again?,Vrei să te cerți din nou?
Tom isn't a Virgo.,Tom nu este în zodia Fecioară.
People like to talk.,Oamenilor le place să vorbească.
Happiness is a delicate flower.,Fericirea este o floare delicată.
Which language are you going to learn next?,Ce limbă vei învața după asta?
You can do anything you want.,Poți să faci tot ce dorești.
The manager opened the door and identified himself.,Managerul a deschis ușa și s-a legitimat.
Calm down.,Calmează-te.
Nobody can control us.,Nimeni nu ne poate controla.
I lost my luggage.,Mi-am pierdut bagajele.
Do you know when they'll arrive?,Știi când vor sosi?
Tom is good at cooking.,Tom este bun la gătit.
"If the need arises, customised solutions can be included in the product.","Dacă se ivește ocazia, soluții personalizate pot fi incluse în produs."
He's a good person.,El e o persoană bună.
Mr. Anton spoke to them coldly.,Domnul Anton le-a vorbit rece.
Tom doesn't believe what Mary says.,Tom nu crede în ceea ce zice Mary.
I'll overlook your conduct this time.,"De data asta, voi trece cu vederea comportamentul tău."
Never mind what she said.,Nu contează ce a spus ea.
Tom is a better cook than me.,Tom este un bucătar mai bun ca mine.
He is very romantic!,El este foarte romantic!
I'm expecting a letter from her.,Aștept o scrisoare de la ea.
I was a little surprised.,Am fost puţin suprins.
I don't know whether to be happy or not.,Nu știu dacă să fiu fericit sau nu.
Tom should be home soon.,Tom ar trebui să fie acasă în curând.
I cannot drink coffee.,Nu pot să beau cafea.
"Correct errors, if any.",Corectează erorile dacă sunt.
I don't want to watch that video.,Nu vreau să mă uit la acel video.
I bet Tom would be glad if Mary didn't come tonight.,Pariez că Tom ar fi bucuros dacă Mary nu ar veni astă seară.
Without gravity we would be hurled off into space.,"Fără gravitaţie, am fi aruncaţi în spaţiu."
It's been snowing.,A nins.
Sami decorated the place in his distinctive style.,Sami a decorat locul în stilul său distinctiv.
Tom has been in Boston for a week.,Tom a fost în Boston timp de o săptămână.
"When you're beginning to look like the photo in your passport, you should go on a holiday.","Când începi să arăți ca fotografia din pașaport, ar trebui să mergi în vacanță."
I am very sorry.,Îmi pare foarte rău.
Tom is very unhappy.,Tom este foarte nefericit.
They seem moved.,Ei par mișcați.
The untimely death of my wife has brought down the curtain on over 50 years of happily married life.,"Moartea prematură a soției mele, a tras cortina peste 50 de ani de mariaj fericit."
"Don't stay in bed, unless you can make money in bed.","Nu sta în pat, cu excepția când poți face bani în pat."
I have a bad headache.,Am o durere de cap teribilă.
You don't have to change.,Nu trebuie să te schimbi.
They went there.,Ei s-au dus acolo.
"A week from today, I'll be in England.","Peste o săptămână, voi fi în Anglia."
The artist painted the most intricate of murals on the old stone wall.,"Artistul a pictat cele mai complicate picturi murale pe peretele vechi, de piatră."
I abstain from alcohol.,Mă abțin de la alcool.
Tom and I walked together.,Eu şi Tom ne-am plimbat împreună.
Can I park my car here?,Pot să-mi parchez mașina aici?
He gives me the creeps.,El îmi dă fiori.
Smile!,Zâmbește!
He's doing in-depth research on ancient history.,El face cercetări aprofundate asupra istoriei antice.
"You're a woman, not a man.","Tu ești femeie, nu bărbat."
Talk!,Vorbește!
Mary brushed the snow off her coat.,Mary și-a periat zăpada de pe haină.
Please wish me luck.,Te rog urează-mi baftă.
We tend to think that our time is our own only on Sundays and holidays.,Tindem să credem că timpul nostru este al nostru doar duminica şi de sărbători.
Are you serious? It looks to me like you're crazy.,Vorbești serios? Mie mi se pare că ești nebun.
I suspect Tom is eager to do that.,Suspectez că Tom este nerăbdător să facă asta.
My father drives to work.,Tatăl meu merge cu mașina la muncă.
I'm in a perfect world.,Sunt într-o lume perfectă.
